CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;117
RefMandelCalculator;512;1536;1024;100;117
RefMandelCalculator;512;1536;1024;100;117
LineMandelCalculator;512;1536;1024;100;26
LineMandelCalculator;512;1536;1024;100;27
LineMandelCalculator;512;1536;1024;100;27
RefMandelCalculator;1024;3072;2048;100;468
RefMandelCalculator;1024;3072;2048;100;467
RefMandelCalculator;1024;3072;2048;100;468
LineMandelCalculator;1024;3072;2048;100;132
LineMandelCalculator;1024;3072;2048;100;130
LineMandelCalculator;1024;3072;2048;100;131
BatchMandelCalculator;512;1536;1024;100;14
BatchMandelCalculator;512;1536;1024;100;15
RefMandelCalculator;2048;6144;4096;100;1866
RefMandelCalculator;2048;6144;4096;100;1865
BatchMandelCalculator;512;1536;1024;100;14
RefMandelCalculator;2048;6144;4096;100;1867
LineMandelCalculator;2048;6144;4096;100;552
LineMandelCalculator;2048;6144;4096;100;553
LineMandelCalculator;2048;6144;4096;100;552
BatchMandelCalculator;1024;3072;2048;100;51
BatchMandelCalculator;1024;3072;2048;100;52
BatchMandelCalculator;1024;3072;2048;100;52
LineMandelCalculator;4096;12288;8192;100;2217
LineMandelCalculator;4096;12288;8192;100;2211
LineMandelCalculator;4096;12288;8192;100;2217
BatchMandelCalculator;2048;6144;4096;100;197
BatchMandelCalculator;2048;6144;4096;100;198
BatchMandelCalculator;2048;6144;4096;100;197
LineMandelCalculator;512;1536;1024;1000;230
LineMandelCalculator;512;1536;1024;1000;230
LineMandelCalculator;512;1536;1024;1000;230
BatchMandelCalculator;4096;12288;8192;100;767
BatchMandelCalculator;4096;12288;8192;100;764
LineMandelCalculator;1024;3072;2048;1000;1128
BatchMandelCalculator;4096;12288;8192;100;770
LineMandelCalculator;1024;3072;2048;1000;1127
LineMandelCalculator;1024;3072;2048;1000;1146
BatchMandelCalculator;512;1536;1024;1000;103
BatchMandelCalculator;512;1536;1024;1000;103
BatchMandelCalculator;512;1536;1024;1000;103
BatchMandelCalculator;1024;3072;2048;1000;376
BatchMandelCalculator;1024;3072;2048;1000;376
BatchMandelCalculator;1024;3072;2048;1000;376
BatchMandelCalculator;2048;6144;4096;1000;1403
BatchMandelCalculator;2048;6144;4096;1000;1396
BatchMandelCalculator;2048;6144;4096;1000;1405
BatchMandelCalculator;4096;12288;8192;1000;5376
BatchMandelCalculator;4096;12288;8192;1000;5372
BatchMandelCalculator;4096;12288;8192;1000;5436
